,symbol_name,交易品种,交易所,exchange,exchange_wind,market_id,万得行业,industry_wind,蒙玺行业,industry_mx,contract_multiplier,margin,listing_date,backtest_begin_date
A,a,黄大豆1号,大商所,DCE,DCE,13,油脂油料,oil,农产品,produce,10,9.00%,2002/3/15,2002/3/15
AG,ag,白银,上期所,SHFE,SHF,12,贵金属,precious,贵金属,precious,15,12.00%,2012/5/10,2012/5/10
AL,al,铝,上期所,SHFE,SHF,12,有色金属,nonferrous,有色金属,nonferrous,5,10.00%,1992/1/1,1992/1/1
AP,AP,苹果,郑商所,CZCE,CZC,14,农副产品,produce,农产品,produce,10,8.00%,2017/12/22,2017/12/22
AU,au,黄金,上期所,SHFE,SHF,12,贵金属,precious,贵金属,precious,1000,8.00%,2008/1/9,2008/1/9
B,b,黄大豆2号,大商所,DCE,DCE,13,油脂油料,oil,农产品,produce,10,8.00%,2004/12/22,2018/1/1
BB,bb,胶合板,大商所,DCE,DCE,13,非金属建材,nonmetallic,化工,chemic,500,40.00%,2013/12/6,2013/12/6
BC,bc,国际铜,上期能源,INE,INE,15,有色金属,nonferrous,有色金属,nonferrous,5,8.00%,2020/11/19,2020/11/19
BU,bu,沥青,上期所,SHFE,SHF,12,化工,chemic,化工,chemic,10,10.00%,2013/10/9,2015/9/1
C,c,玉米,大商所,DCE,DCE,13,谷物,grain,农产品,produce,10,7.00%,2004/9/22,2004/9/22
CF,CF,棉花,郑商所,CZCE,CZC,14,软商品,soft,农产品,produce,5,7.00%,2004/6/1,2008/1/1
CJ,CJ,红枣,郑商所,CZCE,CZC,14,农副产品,produce,农产品,produce,5,7.00%,2019/4/30,2019/4/30
CS,cs,玉米淀粉,大商所,DCE,DCE,13,农副产品,produce,农产品,produce,10,7.00%,2014/12/19,2014/12/19
CU,cu,铜,上期所,SHFE,SHF,12,有色金属,nonferrous,有色金属,nonferrous,5,10.00%,1993/3/1,1993/3/1
CY,CY,棉纱,郑商所,CZCE,CZC,14,软商品,soft,农产品,produce,5,7.00%,2017/8/18,2017/8/18
EB,eb,苯乙烯,大商所,DCE,DCE,13,化工,chemic,化工,chemic,5,12.00%,2019/9/26,2019/9/26
EG,eg,乙二醇,大商所,DCE,DCE,13,化工,chemic,化工,chemic,10,11.00%,2018/12/10,2018/12/10
FB,fb,纤维板,大商所,DCE,DCE,13,非金属建材,nonmetallic,化工,chemic,10,10.00%,2013/12/6,2013/12/6
FG,FG,玻璃,郑商所,CZCE,CZC,14,非金属建材,nonmetallic,黑色,black,20,6.00%,2012/12/3,2012/12/3
FU,fu,燃料油,上期所,SHFE,SHF,12,能源,energy,化工,chemic,10,10.00%,2004/8/25,2018/7/16
HC,hc,热轧卷板,上期所,SHFE,SHF,12,煤焦钢矿,black,黑色,black,10,10.00%,2014/3/21,2016/1/1
I,i,铁矿石,大商所,DCE,DCE,13,煤焦钢矿,black,黑色,black,100,11.00%,2013/10/18,2013/10/18
IC,IC,中证500,中金所,CFFEX,CFE,11,股指期货,index,股指期货,index,200,12.00%,2015/4/16,2015/4/16
IF,IF,沪深300,中金所,CFFEX,CFE,11,股指期货,index,股指期货,index,300,10.00%,2010/4/16,2010/4/16
IH,IH,上证50,中金所,CFFEX,CFE,11,股指期货,index,股指期货,index,300,10.00%,2015/4/16,2015/4/16
J,j,焦炭,大商所,DCE,DCE,13,煤焦钢矿,black,黑色,black,100,9.00%,2011/4/15,2012/7/1
JD,jd,鸡蛋,大商所,DCE,DCE,13,农副产品,produce,农产品,produce,10,7.00%,2013/11/8,2013/11/8
JM,jm,焦煤,大商所,DCE,DCE,13,煤焦钢矿,black,黑色,black,60,9.00%,2013/3/22,2013/3/22
JR,JR,粳稻,郑商所,CZCE,CZC,14,谷物,grain,农产品,produce,20,6.00%,2013/11/18,2013/11/18
L,l,塑料,大商所,DCE,DCE,13,化工,chemic,化工,chemic,5,11.00%,2007/7/31,2007/7/31
LR,LR,晚籼稻,郑商所,CZCE,CZC,14,谷物,grain,农产品,produce,20,6.00%,2014/7/8,2014/7/8
LU,lu,低硫燃料油,上期能源,INE,INE,15,能源,energy,化工,chemic,10,10.00%,2020/6/22,2020/6/22
M,m,豆粕,大商所,DCE,DCE,13,油脂油料,oil,农产品,produce,10,8.00%,2000/7/17,2000/7/17
MA,MA,甲醇,郑商所,CZCE,CZC,14,化工,chemic,化工,chemic,10,7.00%,2011/10/28,2015/1/1
NI,ni,镍,上期所,SHFE,SHF,12,有色金属,nonferrous,有色金属,nonferrous,1,10.00%,2015/3/27,2015/3/27
NR,nr,20号胶,上期能源,INE,INE,15,化工,chemic,化工,chemic,10,10.00%,2019/8/12,2019/8/12
OI,OI,菜油,郑商所,CZCE,CZC,14,油脂油料,oil,农产品,produce,10,6.00%,2007/6/8,2013/1/1
P,p,棕榈油,大商所,DCE,DCE,13,油脂油料,oil,农产品,produce,10,9.00%,2007/10/29,2007/10/29
PB,pb,铅,上期所,SHFE,SHF,12,有色金属,nonferrous,有色金属,nonferrous,5,10.00%,2011/3/24,2016/11/1
PF,PF,短纤,郑商所,CZCE,CZC,14,化工,chemic,化工,chemic,5,9.00%,2020/10/12,2020/10/12
PG,pg,LPG,大商所,DCE,DCE,13,能源,energy,化工,chemic,20,11.00%,2020/3/30,2020/3/30
PM,PM,普麦,郑商所,CZCE,CZC,14,谷物,grain,农产品,produce,50,6.00%,2008/3/24,2013/1/1
PP,pp,聚丙烯,大商所,DCE,DCE,13,化工,chemic,化工,chemic,5,11.00%,2014/2/28,2014/2/28
RB,rb,螺纹钢,上期所,SHFE,SHF,12,煤焦钢矿,black,黑色,black,10,8.00%,2009/3/27,2009/3/27
RI,RI,早籼稻,郑商所,CZCE,CZC,14,谷物,grain,农产品,produce,20,6.00%,2009/4/20,2013/1/1
RM,RM,菜粕,郑商所,CZCE,CZC,14,油脂油料,oil,农产品,produce,10,6.00%,2012/12/28,2012/12/28
RR,rr,粳米,大商所,DCE,DCE,13,谷物,grain,农产品,produce,10,6.00%,2019/8/16,2019/8/16
RS,RS,菜籽,郑商所,CZCE,CZC,14,油脂油料,oil,农产品,produce,10,20.00%,2012/12/28,2012/12/28
RU,ru,天然橡胶,上期所,SHFE,SHF,12,化工,chemic,化工,chemic,10,8.00%,1993/11/1,1993/11/1
SA,SA,纯碱,郑商所,CZCE,CZC,14,化工,chemic,化工,chemic,20,6.00%,2019/12/6,2019/12/6
SC,sc,原油,上期能源,INE,INE,15,能源,energy,化工,chemic,1000,10.00%,2018/3/26,2018/3/26
SF,SF,硅铁,郑商所,CZCE,CZC,14,煤焦钢矿,black,黑色,black,5,7.00%,2014/8/8,2017/8/1
SM,SM,锰硅,郑商所,CZCE,CZC,14,煤焦钢矿,black,黑色,black,5,7.00%,2014/8/8,2017/1/1
SN,sn,锡,上期所,SHFE,SHF,12,有色金属,nonferrous,有色金属,nonferrous,1,10.00%,2015/3/27,2015/3/27
SP,sp,纸浆,上期所,SHFE,SHF,12,化工,chemic,化工,chemic,10,7.00%,2018/11/27,2018/11/27
SR,SR,白糖,郑商所,CZCE,CZC,14,软商品,soft,农产品,produce,10,7.00%,2006/1/6,2006/1/6
SS,ss,不锈钢,上期所,SHFE,SHF,12,煤焦钢矿,black,黑色,black,5,10.00%,2019/9/25,2019/9/25
T,T,10年期国债,中金所,CFFEX,CFE,11,国债期货,debt,国债期货,debt,10000,2.00%,2015/3/20,2015/3/20
TA,TA,PTA,郑商所,CZCE,CZC,14,化工,chemic,化工,chemic,5,6.00%,2006/12/18,2006/12/18
TF,TF,5年期国债,中金所,CFFEX,CFE,11,国债期货,debt,国债期货,debt,10000,1.20%,2013/9/6,2013/9/6
TS,TS,2年期国债,中金所,CFFEX,CFE,11,国债期货,debt,国债期货,debt,20000,0.50%,2018/8/17,2018/8/17
UR,UR,尿素,郑商所,CZCE,CZC,14,化工,chemic,化工,chemic,20,5.00%,2019/8/9,2019/8/9
V,v,PVC,大商所,DCE,DCE,13,非金属建材,nonmetallic,化工,chemic,5,9.00%,2009/5/25,2009/5/25
WH,WH,强麦,郑商所,CZCE,CZC,14,谷物,grain,农产品,produce,20,7.00%,2003/3/28,2013/1/1
WR,wr,线材,上期所,SHFE,SHF,12,煤焦钢矿,black,黑色,black,10,8.00%,2009/3/27,2009/3/27
Y,y,豆油,大商所,DCE,DCE,13,油脂油料,oil,农产品,produce,10,8.00%,2006/1/9,2006/1/9
ZC,ZC,动力煤,郑商所,CZCE,CZC,14,能源,energy,黑色,black,100,5.00%,2013/9/26,2016/1/1
ZN,zn,锌,上期所,SHFE,SHF,12,有色金属,nonferrous,有色金属,nonferrous,5,10.00%,2007/3/26,2007/3/26
