ADRG,bool_is_intervention
A13,True
A14,True
A15,True
A40,True
B01,True
B02,True
B03,True
B04,True
B05,True
B06,True
B07,True
B40,True
B41,True
B42,True
B62,False
B63,False
B64,False
B65,False
B66,False
B67,False
B68,False
B69,False
B70,False
B71,False
B72,False
B73,False
B74,False
B75,False
B76,False
B77,False
B78,False
B79,False
B80,False
B81,False
B82,False
B83,False
C01,True
C02,True
C03,True
C04,True
C05,True
C10,True
C11,True
C12,True
C13,True
C14,True
C15,True
C16,True
C60,False
C61,False
C62,False
C63,False
D01,True
D02,True
D03,True
D04,True
D05,True
D06,True
D10,True
D11,True
D12,True
D13,True
D14,True
D15,True
D40,True
D60,False
D61,False
D62,False
D63,False
D64,False
D65,False
D66,False
D67,False
E01,True
E02,True
E03,True
E40,True
E41,True
E42,True
E60,False
E61,False
E62,False
E63,False
E64,False
E65,False
E66,False
E67,False
E68,False
E69,False
E70,False
E71,False
E72,False
E73,False
E74,False
E75,False
E76,False
E77,False
F01,True
F02,True
F03,True
F04,True
F05,True
F06,True
F07,True
F08,True
F09,True
F10,True
F11,True
F12,True
F13,True
F14,True
F17,True
F18,True
F19,True
F20,True
F21,True
F22,True
F23,True
F24,True
F40,True
F41,True
F42,True
F43,True
F60,False
F61,False
F62,False
F63,False
F64,False
F65,False
F66,False
F67,False
F68,False
F69,False
F72,False
F73,False
F74,False
F75,False
F76,False
G01,True
G02,True
G03,True
G04,True
G05,True
G06,True
G07,True
G10,True
G11,True
G12,True
G46,True
G47,True
G48,True
G60,False
G61,False
G64,False
G65,False
G66,False
G67,False
G70,False
H01,True
H02,True
H05,True
H06,True
H07,True
H08,True
H09,True
H60,False
H61,False
H62,False
H63,False
H64,False
H65,False
I01,True
I02,True
I03,True
I04,True
I05,True
I06,True
I07,True
I08,True
I09,True
I10,True
I11,True
I12,True
I13,True
I15,True
I16,True
I17,True
I18,True
I19,True
I20,True
I21,True
I23,True
I24,True
I25,True
I27,True
I28,True
I29,True
I30,True
I31,True
I32,True
I33,True
I60,False
I61,False
I63,False
I64,False
I65,False
I66,False
I67,False
I68,False
I69,False
I71,False
I72,False
I73,False
I74,False
I75,False
I76,False
I77,False
I78,False
I79,False
I80,False
J01,True
J06,True
J07,True
J08,True
J09,True
J10,True
J11,True
J12,True
J13,True
J14,True
J60,False
J62,False
J63,False
J64,False
J65,False
J67,False
J68,False
J69,False
K01,True
K02,True
K03,True
K05,True
K06,True
K08,True
K09,True
K10,True
K11,True
K12,True
K13,True
K40,True
K60,False
K61,False
K62,False
K63,False
K64,False
L02,True
L03,True
L04,True
L05,True
L06,True
L07,True
L08,True
L09,True
L10,True
L43,True
L44,True
L60,False
L61,False
L62,False
L63,False
L64,False
L65,False
L66,False
L67,False
L68,False
M01,True
M02,True
M03,True
M04,True
M05,True
M06,True
M40,True
M60,False
M61,False
M62,False
M63,False
M64,False
N01,True
N04,True
N05,True
N06,True
N07,True
N08,True
N09,True
N10,True
N11,True
N12,True
N60,False
N61,False
N62,False
O01,True
O02,True
O03,True
O04,True
O05,True
O60,False
O61,False
O63,False
O66,False
P01,True
P02,True
P03,True
P04,True
P05,True
P06,True
P07,True
P08,True
P60,False
P61,False
P62,False
P63,False
P64,False
P65,False
P66,False
P67,False
P68,False
Q01,True
Q02,True
Q60,False
Q61,False
Q62,False
R01,True
R02,True
R03,True
R04,True
R05,True
R06,True
R60,False
R61,False
R62,False
R63,False
T01,True
T40,True
T60,False
T61,False
T62,False
T63,False
T64,False
U40,True
U60,False
U61,False
U62,False
U63,False
U64,False
U65,False
U66,False
U67,False
U68,False
V60,False
V61,False
V62,False
V63,False
V64,False
W01,True
W02,True
W03,True
W04,True
W60,False
W61,False
X02,True
X04,True
X05,True
X06,True
X07,True
X40,True
X60,False
X61,False
X62,False
X63,False
X64,False
Y01,True
Y02,True
Y03,True
Y60,False
Y61,False
Y62,False
Z01,True
Z40,True
Z61,False
Z63,False
Z64,False
Z65,False
Z66,False
801,True
960,False
961,False
963,False
